id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740117976.508685,CnabDU3Hul0hQEmLdl,33477.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740118127.959023,CnabDU3Hul0hQEmLdl,33477.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740117962.766646,ClweEbyNtCi965qN6,35005.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740118007.877114,ClweEbyNtCi965qN6,35005.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740118007.877114,ClweEbyNtCi965qN6,35005.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740118067.951806,ClweEbyNtCi965qN6,35005.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,54.0,247.0,1740118067.951806,ClweEbyNtCi965qN6,35005.0,SF,True,True,0.0,Dd,1.0,82.0,1.0,275.0,17.0,0.030742883682250977,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,312.0,1740118107.246771,CI7IWvvBMBH9Iiud3,38660.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,340.0,17.0,0.002902984619140625,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,312.0,1740117947.876753,CI7IWvvBMBH9Iiud3,38660.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,340.0,17.0,0.002902984619140625,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,312.0,1740118127.959023,CI7IWvvBMBH9Iiud3,38660.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,340.0,17.0,0.002902984619140625,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,312.0,1740118127.959023,CI7IWvvBMBH9Iiud3,38660.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,340.0,17.0,0.002902984619140625,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,74.0,312.0,1740118007.877114,CI7IWvvBMBH9Iiud3,38660.0,SF,True,True,0.0,Dd,1.0,102.0,1.0,340.0,17.0,0.002902984619140625,2fe788e3cc713726,efe788e3cc713726
